"Company Name","Advertising","Agency of Record","Audit","Business Intelligence/Big Data","Collaboration","CRM / Marketing Automation","Data Management","Data Storage","Databases","Ecommerce","Enterprise Applications","ERP","Finance","Hardware/OS/Systems Environment","HR","ITSM","Languages","Medical","Mobility","Networking","Programming Tools","Security","Servers","Service Providers","Telecommunications","Virtualization"
"Partners Bank of California",,,,,,,,,,,,,,,,,"Microsoft ASP.NET",,,,"Modernizr",,,"TPx Communications","Sprint",
"Partners Federal Credit Union","Facebook Pixel",,,,,,,,,,,,,,,,,,"Kony Mobile Application Platform",,"Microsoft .NET Framework","McAfee (formerly Intel Security), McAfee Endpoint Encryption, Symantec, Symantec MessageLabs",,,"AT&T",
"Pasadena Service Federal Credit Union",,,,,,,,,,,,,,,,,"Microsoft ASP.NET",,,,,"Symantec MessageLabs",,,,
"Patelco Credit Union",,,,"Google Analytics","Microsoft Exchange, Microsoft Outlook","ForeSee","Microsoft Active Directory, Microsoft Windows Server Update Services (WSUS)",,,,"Alkami ORB, Microsoft System Center 2012 Configuration Manager (SCCM 2012), Microsoft System Center Configuration Manager (SCCM)",,,"Apple iOS, Apple MacBook Pro, Microsoft Windows 7","iCIMS Recruiting & Applicant Tracking","HelpSTAR, SolarWinds",,,"Apple iPad, Apple iPhone","Cisco Routers and Switches","Microsoft Visio","ForeScout, IDology, Proofpoint, Threatmetrix","Apple Mac OS, Microsoft Exchange Server 2010, Microsoft Windows Server 2012, Microsoft Windows Servers",,"AT&T, Cisco Systems, Cisco Unified Communications Manager (CUCM) (Formerly CallManager), Cisco Unified Contact Center Express (UCCX), Cisco Unity System",
"Pathfinder Bank","Google Tag Manager",,,"Google Analytics",,,,,,,,,,,,,,,,,,,"Apache Servers",,"Windstream Communications",
"Patriot National Bancorp",,,,,,,,,,"Yoast",,,,,,,,,,,,,,,,
"Pawtucket Credit Union",,,,,,,,,,"Yoast",,,,,,,,,,,,,,,,
"Peach State FCU","Facebook Pixel",,,"Google Analytics",,,,"WordPress",,,,,,,,,"Microsoft ASP.NET",,,,"Bootstrap",,,,"AT&T","GreenSock"
"Peapack-Gladstone Bank",,,,"Adobe SiteCatalyst (Omniture), Google Analytics",,,"Microsoft System Center Operations Manager (SCOM)","Dell EMC SourceOne",,,"Jack Henry Banking, Microsoft System Center Configuration Manager (SCCM)",,,"Microsoft Windows 7",,,"CSS, jQuery, Microsoft ASP.NET",,"AirWatch","Neustar UltraDNS","Adobe, Apache, Java Enterprise Edition (Java EE, J2EE)","Symantec Verisign SSL",,,"Altice, Cisco IP Telephony (VoIP)","Microsoft Hyper-V, VMware, VMware ESX Server"
"Penn Community Bank",,,,"Adobe SiteCatalyst (Omniture)",,,,,,,,,,,,,"CSS, jQuery, Microsoft ASP.NET",,,"Neustar UltraDNS","Adobe, Apache, Java Enterprise Edition (Java EE, J2EE)",,"Apache Servers, Apache Tomcat",,,
"Pentagon Federal Credit Union","Quantcast",,,"SAP BusinessObjects, Splunk, Webtrends","Microsoft Exchange, Microsoft Lync, Microsoft Office 365, Microsoft SharePoint, Skype for Business (formerly Lync Online)","Adobe Experience Manager (AEM) (CQ5), KANA CRM","Attachmate Extra!, Microsoft Active Directory, Oracle","VMware Virtual SAN (VSAN)","IBM DB2, Microsoft SQL Server",,,"SAP",,"IBM z/OS, IBM z/VM, Linux, Linux on z Systems","Oracle Taleo Talent Management","CA Service Desk Manager, CA Service Management","ASP, COBOL, Java Servlets, Microsoft ASP.NET, VB.NET, VBScript",,,"CiscoWorks, F5 BIG-IP Global Traffic Manager (GTM), F5 BIG-IP Local Traffic Manager (LTM)","Adobe, JavaServer Pages (JSP)","AlienVault, Attachmate Verastream, FireEye, HPE ArcSight, IBM RACF, McAfee (formerly Intel Security), McAfee ePolicy Orchestrator (EPO), McAfee Network Security Manager, Nessus Security Scanner, Proofpoint, RSA, RSA enVision, SafeNet, ThreatConnect","IBM Mainframe (IBM z Systems)",,"Avaya, Avaya Intuity, Avaya Telephony Hardware, Cisco Systems, Verizon Wireless","Amazon Web Services (AWS), VMware, VMware Horizon View (VMware View), VMware vSphere"
"People's United Bank","Google Tag Manager",,,"IBM Tivoli Workload Scheduler, SAP BusinessObjects, SAS Business Analytics Software","IBM Notes (formerly Lotus Notes), IBM WebSphere MQ (MQSeries), Java Message Service (JMS), Microsoft SharePoint, RightFax",,"Archive Systems, CA ERwin Data Modeler, Courion, IBM DataMirror, IBM Tivoli NetCool, IBM Tivoli OMEGAMON, Microsoft Active Directory, OpenText, OpenText Web Experience Management (Formerly Vignette Content Management), Oracle, Varonis Data Protection & Management","Dell EMC SAN, IBM Spectrum Protect (Formerly Tivoli Storage Manager (TSM)), Symantec Veritas","Microsoft SQL Server, Microsoft SQL Server 2005, Oracle Database (RDBMS), Redis, SAP Sybase IQ, Sybase","Salesforce Commerce Cloud (Formerly Demandware)","Fiserv","SAP","Fiserv Frontier","Apple iOS, Dell OpenManage, IBM AIX, IBM z/OS, Microsoft Windows 7, Oracle Solaris (Formerly Sun Solaris)","UltiPro","HEAT Software (Frontrange), IBM Tivoli, IBM Tivoli Monitoring","AJAX, CSS, Extensible Markup Language (XML), HTML, Java, Java Servlets, jQuery, jQuery UI, Microsoft ASP.NET, Microsoft Visual C#, PHP, VBScript, Web Service Definition Language (WSDL)",,"Blackberry Enterprise Server (BES)","Courion Access Risk Management Suite, IBM Tivoli NetView, Juniper Networks","Agile, Apache, Apache Maven, Docker, Enterprise JavaBean (EJB), Hibernate, ICEfaces, Java Enterprise Edition (Java EE, J2EE), JavaServer Faces (JSF), JavaServer Pages (JSP), JDK, Jenkins, Microsoft Visio, Microsoft Visual Studio, Selenium, Spring","Courion Enterprise Provisioning Suite, DigiCert SSL, Juniper Firewalls, McAfee (formerly Intel Security), McAfee Anti-Virus, McAfee Data Loss Prevention, McAfee Email Gateway (IronMail), Symantec, Symantec AntiVirus Corporate Edition, Symantec Vontu, Veritas Infoscale Availability (Formerly Cluster Server)","Apache Tomcat, Apple Mac OS, IBM iSeries, IBM Mainframe (IBM z Systems), IBM Tealeaf CX, IBM WebSphere Application Server, Microsoft Windows Servers, Oracle Sun Servers, Red Hat Enterprise Linux (RHEL), UNIX","Unisys","Avaya, Avaya Intuity, Avaya Telephony Hardware, Cisco IP Telephony (VoIP), Cisco Systems, Cisco Telephony Hardware, Cisco Unity System, Frontier Communications, Nortel Meridian","Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), VMware"
"Peoples Bank",,,,,,,,"WordPress",,,,,,,,,,,,,,,,,"Level 3 Communications",
"Peoples Bank And Trust Co",,,,,,,,,,,,,,,,,,,,,,,,,,
"Peoples Bank in Cuba, MO","Google Tag Manager",,,"Google Analytics",,,,"WordPress",,,,,,,,,,,,,"Apache, Modernizr","Symantec MessageLabs","Apache Servers",,,
"Peoples Bank of Alabama",,,,,,,"Jack Henry Synergy ECM","MaxCDN",,,"D+H LaserPro, Jack Henry Banking",,,,,,,,,,"Apache","IBM Security Trusteer","Apache Servers",,"Cisco Systems, Level 3 Communications",
"Peoples Bank of Colorado","Google DoubleClick products (AdMeld)",,,,,,,"WordPress",,,,,,,,,"Microsoft ASP.NET",,,,"Apache, Bootstrap",,"Apache Servers",,,
"Peoples Bank of Washington","Google Tag Manager",,,,,,,,,,,,,,,,,,,,,,,,"Wave Broadband","Amazon CloudFront"
"Peoples National Bank","Google Tag Manager",,,,,,,,,,"Ellie Mae (MortgageCEO), Ellie Mae Encompass",,,,,,"Microsoft ASP.NET",,,,"MooTools","Barracuda Email Security","Apache Servers",,"Windstream Communications",
"Peoples Trust Company",,,,"Google Analytics",,,,"WordPress","Microsoft SQL Server",,,,,,,,,,,,"Apache, Modernizr","McAfee (formerly Intel Security), Symantec, Symantec Ghost Solution Suite","Apache Servers, Microsoft Windows Servers",,"Avaya, Avaya PBX","VMware, VMware ESX Server"
"PeoplesBank",,,,"Adobe SiteCatalyst (Omniture), Google Analytics","Microsoft Exchange",,"BMC, Microsoft Active Directory, Microsoft Windows Server Update Services (WSUS), Oracle",,"FileMaker Pro, Microsoft SQL Server, Microsoft SQL Server 2005, Microsoft SQL Server 2008, Microsoft SQL Server 2012, MySQL",,,,,"IBM System i",,"BMC Track-It!","AJAX, Autoit, CSS, jQuery, Microsoft Visual Basic (VB, includes 6), Microsoft Visual C#, PHP, SQL",,"jQuery Mobile","Neustar UltraDNS","Adobe, Apache, Java Enterprise Edition (Java EE, J2EE), Microsoft .NET Framework","Lumension (Formerly PatchLink), Nessus Security Scanner, Rapid7 Metasploit, Rapid7 NeXpose, Symantec Verisign SSL","Apache Servers, Apache Tomcat, IBM AS/400, Microsoft Exchange Server 2010, Microsoft Internet Information Services (IIS), Microsoft Windows Server 2003, Microsoft Windows Server 2008, Microsoft Windows Servers",,"Verizon Wireless","SimpliVity, VMware, VMware ESX Server, VMware Horizon View (VMware View), VMware vMotion"
"Phoenixville Federal Bank & Trust",,,,"Google Analytics","Microsoft Outlook",,"Microsoft Active Directory",,,,,,,,,"Kaseya","CSS, jQuery, Microsoft ASP.NET",,,,,"Catbird Software, Symantec Verisign SSL","Microsoft Windows Servers",,,
"Piedmont Advantage Credit Union",,,,"Google Analytics",,,,,,,,,,,,,,,,,,,,,,
"Pilot Bank","Facebook Pixel, Google AdWords",,,,,,,,,,"Jack Henry Banking, Jack Henry SilverLake",,,,,,,,,,,"McAfee VirusScan","Apache Servers",,"Level 3 Communications",
"Pinnacle Bancorp","Google Tag Manager",,"BKD",,,"LinkedIn Insight Tag (Bizo), Rocket Fuel",,,,"Drupal Commerce",,,"Equifax","Linux",,,,,,,"Selenium","Barracuda Email Security",,,"CenturyLink",
"Pioneer Bank",,,,"Google Analytics","Microsoft Exchange",,"Jack Henry Synergy ECM, Microsoft Active Directory, Microsoft SQL Server Reporting Services (SSRS), Microsoft Windows Communication Foundation (WCF)",,"Microsoft SQL Server, Microsoft Team Foundation Server (TFS)",,"Black Knight Financial Services (BKFS), Jack Henry Banking",,,,,"ManageEngine","AJAX, CSS, HTML, jQuery, Microsoft ASP.NET, Microsoft Visual C#, Web Service Definition Language (WSDL), XSLT",,,"GeoTrust","ADO.NET Entity Framework, AngularJS, Microsoft .NET Framework, Microsoft Visual Studio, Simple Object Access Protocol (SOAP), Sybase T-SQL",,"Microsoft Internet Information Services (IIS)",,"Avaya, Avaya IP Telephony (VoIP), Mid Hudson Communications",
"PlainsCapital Corporation",,,,"Tableau","IBM Notes (formerly Lotus Notes), Microsoft Exchange, Microsoft Outlook, Microsoft SharePoint","Salesforce App Cloud (Salesforce1), Salesforce.com CRM","BMC, Hyland OnBase ECM, Microsoft Active Directory, onQ, Trintech","CommVault, NetApp, Veritas NetBackup",,,,,,"Apple iOS, Microsoft Windows 7",,"BMC Track-It!","IBM RPG, IBM RPG Free, VB.NET, VBScript",,"Apple iPad, Apple iPhone, Blackberry Enterprise Server (BES)","Blue Coat WAN Optimization (MACH5), SolarWinds Orion","Bootstrap, Hibernate, ImageX","Blue Coat Systems, Proofpoint, RSA, RSA Archer GRC, RSA SecurID","Microsoft Windows Servers",,"AT&T, Cisco IP Telephony (VoIP), Cisco Systems","VMware, Vmware NSX, VMware Professional Services, VMware vRealize"
"PlantersFIRST",,,,"Google Analytics",,,,,,,,,,,,,"HTML",,,,,,,,,
"Platinum Bank","Google DoubleClick products (AdMeld)",,,,"Microsoft Exchange",,"Microsoft Active Directory, Quest Change Auditor",,,,,,,,,,,,,,,"McAfee VirusScan, Quest InTrust",,,,"Amazon CloudFront"
"Platte Valley Bank",,,,"Google Analytics",,,,,,,,,,,,,"CSS, jQuery, Microsoft ASP.NET, PHP",,,,,,"Gentoo Linux, Microsoft Internet Information Services (IIS)",,,
"Plaza Bank",,,,,,,,,,,,,,,,,,,,,,,,,,
"Plumas Bank",,,,,,,,,,"Drupal Commerce",,,,,,,,,,,"Bootstrap","Symantec MessageLabs",,,,
"PNC Financial Services Group","AppNexus",,,"Adobe Marketing Cloud (Omniture), Adobe SiteCatalyst (Omniture), Apache Hadoop, Apache Oozie Workflow Scheduler, APT Test & Learn, Cisco Tidal Enterprise Scheduler, HP Vertica, IBM Cognos Business Intelligence, IBM ILOG, Information Builders, JasperReports, Keynote, Microsoft BIDS, Oracle OBIEE, QlikView, SAS Enterprise Guide, SAS Enterprise Miner, Tableau, Tableau Desktop, Verint Systems, Webtrends","Atlassian, Avaya Modular Messaging, CA Clarity PPM, Cisco WebEx, IBM Domino (formerly IBM Lotus Domino), IBM Notes (formerly Lotus Notes), IBM WebSphere MQ (MQSeries), Microsoft Exchange, Microsoft Lync, Microsoft Office 365, Microsoft Outlook, Microsoft SharePoint, Microsoft Windows OneDrive (formerly SkyDrive), RightFax, Skype for Business (formerly Lync Online)","Acxiom Impact, Adobe Experience Manager (AEM) (CQ5), Clarabridge (formerly Engagor), NewsCred, Oracle Siebel CRM, Radius, Rocket Fuel, Salesforce.com CRM, Spredfast (Mass Relevance)","Adobe LiveCycle ES (form designer), Apache Flume, Apache Hive, Apache MapReduce, Apache Solr, Apache Spark, Apache Sqoop, Appfluent Visibility, Attachmate (Micro Focus), Attachmate Extra!, BMC, BMC ADDM, BMC Atrium CMDB, BMC ProactiveNet Performance Management (Formerly Patrol), Compuware, Dell EMC Document Sciences, Dynatrace, Esker Software, Exterro Fusion eDiscovery Workflow Management, HP Dialogue Live ECM, Hyland OnBase ECM, iAPPS Content Manager, IBM Cognos TM1, IBM FileNet, IBM ILOG JRules, IBM InfoSphere Master Data Management (MDM), IBM Integration Bus (formerly WebSphere Message Broker), IBM Sterling Commerce, IBM Tivoli Enterprise Console (TEC), IBM Tivoli NetCool, IdentityForge, Informatica, Microsoft Active Directory, Microsoft Project, Microsoft SQL Server Analysis Services (SSAS), Microsoft SQL Server Reporting Services (SSRS), NetIQ, OpenText, OpenText Exstream (Formerly HP Exstream), Oracle, Oracle Enterprise Manager (OEM), Oracle Essbase, Oracle GoldenGate, Oracle Real Application Clusters (RAC), Pegasystems, Proofpoint Sentrion (formerly Sendmail Sentrion), Serena TeamTrack, SQL*Loader, Teradata, Verint Impact 360, ZFS","Brocade Switches, Dell EMC Captiva, Dell EMC CLARiiON, Dell EMC Data Domain, Dell EMC SAN, Dell EMC Symmetrix (VMAX), HP EVA Storage, IBM PowerHA, IBM Spectrum Protect (Formerly Tivoli Storage Manager (TSM)), Idera SQL Safe Backup, NetApp, NetApp Fabric-Attached Storage (FAS), Symantec Veritas, Symantec Veritas Volume Manager, Veritas NetBackup","Apache Cassandra, DataStax Enterprise, IBM DB2, Microsoft SQL Server, Microsoft SQL Server 2005, Microsoft SQL Server 2008, Microsoft SQL Server 2012, Microsoft SQL Server Integration Services (SSIS), Microsoft Team Foundation Server (TFS), MySQL, Oracle Database (RDBMS)","MediaTree","Black Knight Financial Services (BKFS), Black Knight MSP servicing platform, Fiserv, IBM Blueworks Live, Microsoft MDOP, Microsoft System Center Configuration Manager (SCCM), Mitratech Solutions, Oracle Applications, Orca, SAP BODS","Ariba, Infoman Business Solutions, Oracle E-Business Suite (EBS), Oracle Hyperion, Oracle Hyperion Planning, Oracle PeopleSoft Enterprise, Oracle PeopleSoft Financial Management, SAP","CreditQuest, Cybergrants, Fiserv Frontier, Western Union Payments (Speedpay)","IBM AIX, IBM z/OS, IBM z/VM, Linux, Linux on z Systems, Microsoft Windows 7, Oracle Solaris (Formerly Sun Solaris), Sun Solaris Cluster","IBM Kenexa BrassRing, Oracle Taleo Talent Management","Atlassian JIRA, BMC Atrium Orchestrator, BMC Remedy IT Service Management Suite, CA Workload Automation AE (Formerly AutoSys), HP OpenView, IBM Tivoli, IBM Tivoli Monitoring, NetIQ AppManager, Serena Software, ServiceNow","AJAX, Autoit, CSS, Extensible Markup Language (XML), HTML, Java, Java Servlets, jQuery, jQuery UI, Microsoft Visual Basic (VB, includes 6), Oracle PL/SQL, Perl, Python, REXX, SAML, Shell Script, SQL, Unified Modeling Language (UML), VBScript, Web Service Definition Language (WSDL), XSLT","McKesson, MEDITECH","BlackBerry, Blackberry Enterprise Server (BES), ClairMail Mobile Solutions","Anyplace Control Software, Arbor Networks, Brocade, Cisco AnyConnect VPN, Cisco Routers and Switches, F5 BIG-IP Local Traffic Manager (LTM), IBM Sterling Connect:Direct, Juniper Network Hardware, Juniper Networks, Novell NetWare, Oracle Recovery Manager (RMAN)","Adobe, Agile, AngularJS, Apache, Apache CXF, Apache Kafka, Apache log4j, Apache Maven, Apache Pig, Apache Struts, Apache Subversion (SVN), BMC BladeLogic (Marimba), CA Endevor, CA Software Change Manager (Formerly CA Harvest), COBIT Framework, CVS (Concurrent Versions System), Docker, Dojo, Eclipse, Enterprise JavaBean (EJB), ExtJS, Flexera InstallShield, Flexera Software AdminStudio, Google Web Toolkit (GWT), Hibernate, HP Application Lifecycle Management (ALM), HP LoadRunner, HP Quality Center Software, HP QuickTest Pro (Mercury), HP Test Director, IBM MobileFirst Platform Foundation (formerly Worklight), IBM Rational App Developer (RAD), IBM Rational ClearCase, IBM Rational HATS, IBM Rational Rose, IBM Rational Suite, iRise, iText, Java Enterprise Edition (Java EE, J2EE), JavaServer Faces (JSF), JavaServer Pages (JSP), JBoss, JDK, Jenkins, JUnit, MadCap Software, Micro Focus ChangeMan ZMF (formerly Serena Changeman ZMF), Microsoft .NET Framework, Microsoft Visio, Microsoft Visual Studio, MVC, Oracle Developer Suite, Oracle JDBC, Oracle JSTL, Parse, REST, RESTful, Selenium, Simple Object Access Protocol (SOAP), Spring, Swing, Sybase T-SQL, TOAD, WaveMaker, XML Schema","Arcserve, Axway, Axway MailGate, Blue Coat ProxySG, Blue Coat Systems, CA SiteMinder, Check Point, Cisco Adaptive Security Appliance (ASA), FireEye, Fortinet, Fortinet Firewalls, IBM RACF, IBM Security Trusteer, IBM Security Trusteer Rapport, IBM Tivoli Compliance Insight Manager, Nagios Infrastructure Monitoring, Oracle Identity Management (OIM), PointSec, Proofpoint, RemotelyAnywhere, RiskIQ, RSA, RSA Adaptive Authentication, RSA Keon, RSA SecurID, SunGard BancWare, Symantec, Symantec Cloud, Symantec Data Loss Prevention, Symantec MessageLabs, Symantec Norton Security (formerly Norton AntiVirus), Symantec Verisign SSL","Akamai, Apache Servers, Apache Tomcat, HP BladeSystem, HP Integrity Rackmount Servers, IBM Enterprise Storage Server, IBM HTTP Server, IBM iSeries, IBM Mainframe (IBM z Systems), IBM System p (pSeries), IBM Tealeaf CX, IBM WebSphere Application Server, Intel Servers, Microsoft BizTalk Server, Microsoft Internet Information Services (IIS), Microsoft Systems Management Server, Microsoft Windows Servers, Oracle WebLogic, Red Hat Enterprise Linux (RHEL), Tableau Server, Ubuntu Linux, UNIX, Wintel Servers","TEKsystems","Aspect, AT&T, Avaya, Avaya Aura, Avaya Aura Communication Manager (ACM), Avaya Aura Experience Portal, Avaya Intuity, Avaya IP Telephony (VoIP), Avaya Telephony Hardware, Cisco IP Telephony (VoIP), Cisco Systems, Genesys, Genesys CTI, Tangoe TEM (includes Rivermine), Verizon Wireless","Amazon Elastic Compute Cloud (EC2), Amazon Web Services (AWS), Citrix, Citrix NetScaler, Citrix XenApp (formerly MetaFrame and Presentation Server), Dell EMC VPLEX, Microsoft App-V, VCE vBlock, VMware, VMware ESX Server, VMware Horizon View (VMware View), Vmware NSX, VMware vCenter, VMware Virtual Infrastructure, VMware vSphere, VMware Workstation"
"Point Loma Credit Union",,,,,,,,,,,,,,,,,,,,,"Bootstrap",,,,,
"Police and Fire Credit Union","Google DoubleClick products (AdMeld)",,,"Google Analytics",,"DeepTarget, Salesforce.com CRM","Microsoft Active Directory","WordPress",,"Crazy Egg, Yoast","Microsoft System Center Configuration Manager (SCCM), Symitar",,,,,,"jQuery, Microsoft ASP.NET, SQL, VB.NET",,,,"Apache, Modernizr","Symitar Episys, ZixCorp Email Encryption","Apache Servers, Microsoft Windows Servers",,"Avaya, Verizon Wireless",
"Polish National Credit Union",,,,"Google Analytics",,,,,,,,,,,,,,,,,,,,,,
"POPA Federal Credit Union",,,,,,,,,,,,,,,,,"Microsoft ASP.NET",,,,,,,,,
"Popular","Google Tag Manager",,,"Google Analytics, IBM Cognos Business Intelligence, QlikView, SAP BusinessObjects, SAS Enterprise Guide","Citrix GoToAssist, IBM Notes (formerly Lotus Notes), Microsoft Exchange, Microsoft Message Queuing (MSMQ), Microsoft Office 365, Microsoft Outlook, Microsoft SharePoint","Lucky Orange, Oracle Responsys Marketing Cloud (Formerly Responsys), Salesforce Marketing Cloud (Formerly ExactTarget)","Bizagi, IBM Business Process Manager (Lombardi), IBM Cognos TM1, Informatica, Logica WMIS, McData, Microsoft Active Directory, Microsoft InfoPath, Microsoft Windows Communication Foundation (WCF), Microsoft Windows Server Update Services (WSUS), Oracle, Oracle Enterprise Manager (OEM), Trillium Software System","Dell EMC CLARiiON, Dell EMC Navisphere, Dell EMC SAN, Openfiler SAN, Veritas Enterprise Vault (EV), Veritas NetBackup","IBM DB2, Microsoft SQL Server, Microsoft SQL Server Integration Services (SSIS), MySQL, Oracle Database (RDBMS)","Crazy Egg","P-Synch","SAP, SAP Enterprise Resource Planning (ERP), SAP ERP Central Component (ECC), SAP Materials Management (MM)",,"HP-UX, IBM AIX, Intel vPro, Oracle Solaris (Formerly Sun Solaris)","Aspect Workforce Management, SAP ERP Human Capital Management (HCM)","New Relic","AJAX, C++, CSS, HTML, Java, Java Servlets, jQuery, Microsoft ASP.NET, Oracle PL/SQL, SQL, VB.NET, XHTML",,,"Cisco Routers and Switches, CiscoWorks, HP 3Com Routers & Switches, Virtual Hold","1E Nomad Enterprise, Apache, DHTML, Java Enterprise Edition (Java EE, J2EE), JavaServer Pages (JSP), Microsoft .NET Framework, Microsoft Visio, Microsoft Visual Studio, Optimizely, XML Schema","Forcepoint (Websense), IBM Security Trusteer, McAfee (formerly Intel Security), McAfee SaaS Email Protection (formerly MX Logic), McAfee VirusScan, RSA, RSA Adaptive Authentication, RSA Aveksa (formerly Aveksa Compliance Manager), RSA FraudAction, RSA SecurID, Symantec, Symantec Ghost Solution Suite, Symantec Verisign SSL, Van Dyke SecureCRT","HP Integrity Superdome Servers, HP Servers, IBM iSeries, Microsoft Internet Information Services (IIS), Microsoft Systems Management Server, Microsoft Windows Servers, NGINX Plus (NGINX Web Server), Red Hat Enterprise Linux (RHEL)",,"Altitude Contact Center Software, Aspect, Aspect Unified IP, AT&T Route It!, Avaya, Avaya PBX, Avaya Telephony Hardware, Cisco IP Telephony (VoIP), Cisco Systems, Cisco Telephony Hardware, Cisco Unified Communications, Cisco Unified Communications Manager (CUCM) (Formerly CallManager), Cisco Unity System, Genesys, Level 3 Communications","Amazon CloudFront, Amazon Web Services (AWS), Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), Microsoft Azure, Microsoft Virtual Server, VMware, VMware ESX Server, VMware vCenter"
"Port Washington State Bank","Google Tag Manager",,,,,,,,,,,,,,,,,,,,,,,,,
"Premier Bankcard Holdings",,,,,,,,,"MySQL",,,,,"Apple iOS",,"New Relic, Symantec Altiris Workflow Solution, Symantec ServiceDesk","Microsoft Visual FoxPro, VB.NET",,"Android Devices, Android OS, BlackBerry",,,"IBM ISS SiteProtector, Nessus Security Scanner, RSA, RSA Data Loss Prevention (DLP), RSA enVision, RSA SecurID, Symantec, Symantec Altiris","Microsoft Internet Information Services (IIS)",,"CenturyLink",
"Premier Valley Bank",,,,"Google Analytics",,,,,"MySQL",,,,,,,,"CSS, jQuery, PHP",,,,"Apache, MooTools, Yahoo User Interface Library (YUI)","Google Postini, Symantec MessageLabs",,,"CenturyLink",
"Presidio Bank",,,,"Google Analytics",,,,,,,,,,,,,,,,,,,,"TPx Communications",,
"Prime Alliance Bank",,,,"Google Analytics",,,,,,,,,,,,,,,,,,,,,,
"Professional Bank",,,,,,,,"WordPress",,,,,,,,,,,,,"Apache","McAfee VirusScan","Apache Servers",,,
"Prosperity Bank",,,,,"Microsoft Exchange",,"Citrix EdgeSight, HP Web Jetadmin, IBM FileNet, Microsoft Active Directory, Microsoft SQL Server Reporting Services (SSRS), Microsoft Windows Server Update Services (WSUS)",,"Microsoft SQL Server",,"Jack Henry Banking, Jack Henry Banking NetTeller, Jack Henry SilverLake, Microsoft System Center Configuration Manager (SCCM)",,,"IBM AIX",,"BMC Track-It!, Dell Foglight for Virtualization (Formerly vfoglight), ManageEngine, ScriptLogic","Microsoft ASP.NET",,,"ManageEngine OpManager","Apache, Docker, Java Enterprise Edition (Java EE, J2EE), Microsoft Visual Studio","IBM Security Trusteer, McAfee (formerly Intel Security), McAfee ePolicy Orchestrator (EPO), Microsoft System Center Endpoint Protection (Formerly Forefront Client Security), Nessus Security Scanner, Proofpoint, Rapid7 NeXpose, Symantec, Veritas Backup Exec","Apache Servers, IBM Web Application Server, Microsoft Exchange Server 2007, Microsoft Internet Information Services (IIS), Microsoft Windows Servers",,"Cisco IP Telephony (VoIP), Cisco Systems, Cisco Telephony Hardware, Cisco Unity System, Level 3 Communications, ShoreTel","Citrix, Citrix XenApp (formerly MetaFrame and Presentation Server), Citrix XenDesktop, HP Thin Clients, VMware, VMware ESX Server, VMware vSphere"
"Provident Bank",,,,,,"Signal (BrightTag)","Trintech",,"Microsoft SQL Server 2012",,"Microsoft System Center 2012 Configuration Manager (SCCM 2012)",,,,,,"ASP, Microsoft ASP.NET, Microsoft Windows PowerShell",,,,"Adobe, Adobe Dreamweaver, Microsoft Windows WMI","DigiCert SSL, TITUS","Dell PowerEdge Servers, Microsoft Exchange Server 2010, Microsoft Internet Information Services (IIS), Microsoft Windows Server 2008, Microsoft Windows Server 2012",,"AT&T, Avaya, Avaya PBX, Cisco Unified CME, Cisco Unified Communications Manager (CUCM) (Formerly CallManager)","Citrix XenApp (formerly MetaFrame and Presentation Server), VMware ESX Server"
"Provident Credit Union","Google Tag Manager",,,"Google Analytics",,,,,"Microsoft SQL Server",,,,,,"ADP",,"ASP, C++, Cobra, CSS, Extensible Markup Language (XML), Java, jQuery, Microsoft ASP.NET, Microsoft Visual Basic (VB, includes 6)",,,,"Apache, Microsoft .NET Framework, Microsoft Visual Studio, Simple Object Access Protocol (SOAP), Sybase T-SQL",,"Microsoft Internet Information Services (IIS)",,"Comcast Business",
"Provident Financial Services",,,,"Google Analytics",,"Signal (BrightTag)",,"MaxCDN","Microsoft SQL Server","Magento",,,,"IBM z/OS","SuccessFactors",,"HTML5",,,,,"Forcepoint (Websense), Proofpoint, TITUS","IBM Mainframe (IBM z Systems)",,"Echopass, Echopass Contact Center On-Demand, Verizon Wireless",
"Public Service Credit Union",,,,"IBM Cognos Business Intelligence, QlikView, SAP Crystal Reports","Microsoft Exchange, RealVNC",,"DataWatch, Jack Henry Synergy ECM, Microsoft Active Directory, Oracle",,"MySQL",,"Jack Henry Banking","SAP",,"IBM AIX, Linux",,"Alloy Software","CSS, HTML, Microsoft ASP.NET, PHP, PHP (Applications)",,,"GFI LANGuard, Novell NetWare","Apache, Zend Framework","exacqVision VMS, SurfControl, Symitar Episys, Trend Micro, Trend Micro OfficeScan, Universal SSH Key Manager","Microsoft Internet Information Services (IIS), Microsoft Windows Servers, Red Hat Enterprise Linux (RHEL), UNIX",,"CenturyLink, Cisco Systems, Cisco Telephony Hardware, Cisco Unified Communications, Cisco Unified Communications Manager (CUCM) (Formerly CallManager), Cisco Unity System",
